sentence|offsets|correction|old_type|new_type|comment
"The day of the party all had fun especially Pat that at the beggining was sad ."|5 6|everyone|R:OTHER|R:PRON|
"The day of the party all had fun especially Pat that at the beggining was sad ."|10 11|who|R:OTHER|R:PRON|
"The day of the party all had fun especially Pat that at the beggining was sad ."|11 14|to start with|R:OTHER||
"I , actually , was n't disappointed ."|0 4|Actually, I|R:OTHER|R:WO|
"What 's more , you had better have done them if you would have to go to the blackboard !"|10 11|or|R:OTHER||
"I do n't really want to change that , I think it is just like this ."|13 14|fair|R:OTHER||
"Owing toe the summer course I take starting in August , July is the only month I have free time ."|1 2|to|R:OTHER|R:SPELL|
"If you are lucky enough , you might find them within 30 minutes , but if you do n't , you might have to keep walking for several hours and still could n't find ones ! !"|31 33|not |R:OTHER||
"If you are lucky enough , you might find them within 30 minutes , but if you do n't , you might have to keep walking for several hours and still could n't find ones ! !"|34 35|any|R:OTHER||
"First of all , the show began three quarters of an hour late : it started at quarter past eight instead of half past seven , what of course was very bothering ."|31 32|annoying|R:OTHER|R:ADJ|
"There were supposed to be discounts for the tickets , what appeared to be wrong to ."|15 16|too|R:OTHER|R:SPELL|
"First off all , if computers haden't been invented , I would n't spend half of the day in front of it !"|1 2|off|R:OTHER|R:SPELL|
"First off all , if computers haden't been invented , I would n't spend half of the day in front of it !"|6 7|hadn't|R:OTHER|R:SPELL|
"First off all , if computers haden't been invented , I would n't spend half of the day in front of it !"|21 22|one|R:OTHER||
"Precision industry has changed my life a lot too . I practicate Scuba Diving during the week - ends and hollydays ."|16 19|weekends|R:OTHER|R:ORTH|
"I 'm so happy and exciting to receive this letter about I 've won the first prize in your competition ."|11 11|the fact that|M:OTHER||
"But I never try it before ."|2 4|have never tried|R:OTHER||
"We think , that you also would like to go there , when you 'll know about it better ."|16 19|more about it|R:OTHER||
"There will be showed the latest fashions ."|0 7|The latest fashions will be shown there|R:OTHER||
"So , we think , that it is very good as for you as for us ."|13 14|and|R:OTHER|R:CONJ|
"My best friend told me , she met one boy ."|8 9|a|R:OTHER|R:DET|
"She told me , that he was hansom , kind , well - understanding ( he understood her from a half of the word ) ; the main was he also liked her very much !"|7 8|handsome|R:OTHER|R:SPELL|
"But in three days she hasn't been at home ."|5 8|didn't come|R:OTHER||
"In three days of her disappearing the phone has rung ."|8 10|rang|R:OTHER|R:VERB:TENSE|
"I took any papers , put them to one bag and without saying anything went to my friend to take something like gun ."|8 9|a|R:OTHER|R:DET|
"I took any papers , put them to one bag and without saying anything went to my friend to take something like gun ."|21 21|that|M:OTHER||
"We are very grateful to you for these three days that we are going to spend in the English capital , especially because you planned very interesting and different kinds of things to do for all us ."|32 37|for all of us to do|R:OTHER||
"It is a very good chance to join this exhibition to see all the new fashion tendences , the latest hairstyles and make up as all we came from many different countries and have not the same customs either ."|33 35|do not have|R:OTHER||
"By this way , we would visit the museum as you had planned and n Wednesday afternoon we could use the free time to do some shopping if we wished it ."|14 15|on|R:OTHER|R:SPELL|
"They are human beings actually and they need to keep a little bit of pirvacity and freedom in their lifes to continue like normal people , to feel that they are unknown and anonymus and they do not have to wear sunglasses , hats or caps every time they want to go out home not to be recognised .."|51 53|leave|R:OTHER|R:VERB|
"They are human beings actually and they need to keep a little bit of pirvacity and freedom in their lifes to continue like normal people , to feel that they are unknown and anonymus and they do not have to wear sunglasses , hats or caps every time they want to go out home not to be recognised .."|54 54|in order to|M:OTHER||
"To sum up I would like to say that for me is very difficult which group has the reason but , by the moment , we should try to respect each other and go in the other 's soul to feel like them in those moments we can not understand them ."|16 19|is right|R:OTHER||
"About the accommodation , I would prefer staying in tents as I used to during summer holidays when I was a child ."|0 1|Regarding|R:OTHER||
"Secondly , I am very interesting in photography because my father is a photographer and we are used to spending time each other ."|21 23|together|R:OTHER||
"And nowadays people must do shopping either they like it or not ."|6 7|whether|R:OTHER|R:CONJ|
"For people who used to do shopping , going in big stores , I think they like it and they are always looking for fashioned - clothes ."|24 26|fashionable|R:OTHER||
"In my opinion , I think people have to do shopping even though they do n't appreciate it very much ."|4 6||U:OTHER||
"If these people have a family with children , they must buy some food to feed them even if a supermarket is full of people ."|4 7||U:OTHER||
"It will take place in the Central Exhibition Hall on Tuesday on the 14th of March from 10 a.m. to 19 p.m."|20 21|7|R:OTHER||
"I would like to sum up by saying that every person , either famous or not , deserves to have a private life without being followed or disturbed ."|12 13|whether|R:OTHER|R:CONJ|
"Secondly , the show I went was the evening one , which was supposed to start at 7:30 p.m. but it had a 41 minutes delay and ended up starting at 8.15 p.m."|20 22|there was|R:OTHER||
"Secondly , the show I went was the evening one , which was supposed to start at 7:30 p.m. but it had a 41 minutes delay and ended up starting at 8.15 p.m."|23 25|41-minute|R:OTHER|R:SPELL|
"Last of all , it said in your advertisement that there is a theatre restaurant after the show but it turned out to be closed because it was redecorating and no annocement was made ."|28 29|being redecorated|R:OTHER|R:VERB:TENSE|
"Last of all , it said in your advertisement that there is a theatre restaurant after the show but it turned out to be closed because it was redecorating and no annocement was made ."|28 29|being redecorated|R:OTHER|R:VERB:FORM|
"Your Sincelery ,"|0 1|Yours|R:OTHER|R:SPELL|
"Nowaday , people look at fashion - magesins or get opinions from their friends to decide what to wear in different occasions"|6 8|magazines|R:OTHER|R:SPELL|
"Nowaday , people look at fashion - magesins or get opinions from their friends to decide what to wear in different occasions"|14 14|to help them|M:OTHER||
"Will they still do the same 100 years later ?"|8 9|from now|R:OTHER||
"In my opinion , I think clothes will be a lot differente 100 years later compare to now ."|4 6||U:OTHER||
"In my opinion , I think clothes will be a lot differente 100 years later compare to now ."|14 18|time|R:OTHER||
"As new materials are made and new styles are created either by designers or people themselves which leads to changes in fashion but on the other hand come materials will probably still be used such as jeans , which was invented ages ago in America ."|23 27|in addition|R:OTHER||
"so if you want to know what clothes will be like 100 year later , the only thing you can do is to WAIT !"|13 14|from now|R:OTHER||
"For the accomodation at Camp California , I will prefer to have a log cabin because I think it is more comfortable than a tent , and in case it has a big storm with a heavy rain it 's more resistant than a tent ."|29 30|there|R:OTHER||
"For the accomodation at Camp California , I will prefer to have a log cabin because I think it is more comfortable than a tent , and in case it has a big storm with a heavy rain it 's more resistant than a tent ."|38 39|. A log cabin|R:OTHER||
"For the activities , I chose climbing because I took cours during 2 weeks last year and now I have a good level , for the other one I chose photography but I am not a proffesional , I just take some pictures in my holiday !"|23 23|of proficiency |M:OTHER|M:PREP|
"For the activities , I chose climbing because I took cours during 2 weeks last year and now I have a good level , for the other one I chose photography but I am not a proffesional , I just take some pictures in my holiday !"|23 23|of proficiency |M:OTHER|M:NOUN|
"I have a little question , could you tell me if and how money I need to take with me , and which kind of clothes ?"|10 12||U:OTHER||
"The next weekend I have an appointment with one them , but I do n't tell you the name because you 'll fell jalous !"|5 7|a date|R:OTHER|R:DET|
"The next weekend I have an appointment with one them , but I do n't tell you the name because you 'll fell jalous !"|5 7|a date|R:OTHER|R:NOUN|
"It 's good to walk around looking all the news in the stores ."|9 10|new things|R:OTHER|R:NOUN:NUM|
"It 's good to walk around looking all the news in the stores ."|9 10|new things|R:OTHER|M:NOUN|
"Your sincerely"|0 2|Yours faithfully|R:OTHER|R:SPELL|
"Your sincerely"|0 2|Yours faithfully|R:OTHER|R:ADJ|
"My jobs were collecting a ticket , saling goods and refreshment , guiding people to a right seat and cleaning up the concert hole after finish a concert ."|25 28|the concert finished|R:OTHER||
"First of all , I would like to say thank you to you Mr Robertson for planning to take us to spend three days in London ."|21 26|London for three days|R:OTHER||
"We would like to ask you whether we can change some programme ."|11 11|of the|M:OTHER|M:PREP|
"We would like to ask you whether we can change some programme ."|11 11|of the|M:OTHER|M:DET|
"Although , their news on the front page of a magazine can catch the eyes of public so that people will never forget them ."|0 1|However|R:OTHER||
"On the other hand , their story always make them embarras because most of the journalists create their own story base on the true story just to get attraction from people ."|28 31|people's attention|R:OTHER||
"I went to see it on time as it was written 19:30 but it started t 20:15 with a delay of 45 minutes ."|15 16|at|R:OTHER|R:SPELL|
"As well as you can understand I did not enjoy myself and I think I spent my money for a nonsense thing ."|1 3||U:OTHER||
"I went to the theatre restaurant after the show but it was closed because of the re - decoration progress inside ."|16 19|redecoration|R:OTHER|R:SPELL|
"I went to the theatre restaurant after the show but it was closed because of the re - decoration progress inside ."|19 20|works|R:OTHER|R:NOUN|
"The internet is the world 's largest communication system ever made ."|9 11||U:OTHER||
"Internet brought a new way to my live since I started to use it ."|7 8|life|R:OTHER|R:SPELL|
"Techology is also important in one subject for me ."|5 6|another|R:OTHER||
"He went to see the headmaster and told him all the truth ."|9 11|the whole|R:OTHER||
"The headmaster went to see Jon and Tim and punished their bad behaviours ."|10 10|them for|M:OTHER|R:PRON|
"The headmaster went to see Jon and Tim and punished their bad behaviours ."|10 10|them for|M:OTHER|M:PREP|
"The show had a 45 minutes delay - what a shame !"|4 6|45-minute|R:OTHER|R:SPELL|
"I haven't seen any !"|1 3|didn't see|R:OTHER|R:VERB:TENSE|
"I was with my son ( 11 years old ) and I had to paid a full - prize for his ticket ."|15 20|for a full price|R:OTHER||
"I had not any money for travelling but my parents were able to give me them if I only had a concret plans ."|11 12|going |R:OTHER||
"I started talking with my parents that I will be travelling with my friends through West - Europe for one month ."|2 4|telling|R:OTHER|R:VERB|
"I started talking with my parents that I will be travelling with my friends through West - Europe for one month ."|2 4|telling|R:OTHER|U:PREP|
"After one mounth I came home back and explained my parents how a lot of fun had I with my friends - I do n't know why I was such a lair ."|11 12|what|R:OTHER|R:PRON|
"My parents belived my word 's untill my younger brother Pat told them the true ."|4 6|story|R:OTHER|R:NOUN|
"But I think , this was a good lesson for me and I lair any more ."|13 13|don't|M:OTHER||
"The reason for which I decided to write you a letter , will , I guess , surprise you ."|2 4||U:OTHER||
"It was very excited thinking about being at the theatre , and I though with certainty I was going to enjoy my evening ."|13 14|thought|R:OTHER|R:SPELL|
"Plus , I felt very pleased when I heard that Danny Brook was part of the play : he used to be an old friend of mine in Highschool and perchance I have found him back here !"|30 31|perhaps|R:OTHER||
"I guess I could not live without many instruments ."|7 8|lots of|R:OTHER||
"It allows me to learn anything without having to travel through many libraries as I used to do ."|11 12|lots of|R:OTHER||
"Nevertheless , this easy life has then offered me to be more peaceful and I think it is essential ."|9 9|the chance|M:OTHER|M:DET|
"Nevertheless , this easy life has then offered me to be more peaceful and I think it is essential ."|9 9|the chance|M:OTHER|M:NOUN|
"I am writing to thank you to send me all the details about my prize and I 'd like to give you a complete information about the journey will be done by myself ."|22 24|all the|R:OTHER||
"Related with accommodation , I 'd prefer to stay in log cabins ."|0 2|Regarding|R:OTHER||
"The first one is for my mental health , I need a break in my style of life ."|15 18|lifestyle|R:OTHER||
"Eventually , I 'd like to request to have special food , because and vegetarian person , besides I try to eat just organic food ."|13 14|I'm a|R:OTHER||
"I was running all the show , my responsability was to get dress her ."|3 5|the whole|R:OTHER||
"We had to take of some clothes and then to put on others ones completly different , in just few minutes ( similar to Formula One ) ."|13 16|completely different ones|R:OTHER||
"I was exhausted when the concert finished , anyway it has been one of my best experience and I 'll remember for life ."|22 23|ever|R:OTHER||
"Finally , I send you all my positive energy and I am looking forward to receiving your letter back ."|17 19|reply|R:OTHER||
"This festival was well - orginised ."|4 6|organised|R:OTHER|R:SPELL|
"From my point of view I can complain only on a small concert hall and there were artist from only six countries ."|15 15|the fact |M:OTHER|M:DET|
"From my point of view I can complain only on a small concert hall and there were artist from only six countries ."|15 15|the fact |M:OTHER|M:NOUN|
"You wrote an advertisment that people from more than 15 deferent countries were going to visit this concert , but there were artists only from 6 countries ."|10 11|different|R:OTHER|R:SPELL|
"The International Arts Festival was organised quite well . I would only recomended you to have more artists and a classical concert should be in bigger hall than it was ."|27 30||U:OTHER||
"There names were Ivan and Maria ."|0 1|Their|R:OTHER|R:SPELL|
"They were so pour that somitimes they hardly had something to eat ."|3 4|poor|R:OTHER|R:SPELL|
"It was n't usual fish , it was Gold Fish and it asked him as human ; ' Please , let me go and I can do for you anything you want ' ."|12 13|talked to|R:OTHER|R:VERB|
"It was n't usual fish , it was Gold Fish and it asked him as human ; ' Please , let me go and I can do for you anything you want ' ."|12 13|talked to|R:OTHER|M:PREP|
"But Ivan was so kind person that he let Gold Fish went without any condition ."|3 4|such a|R:OTHER||
"She said that it was n't enough what Gold Fish had done for her ."|3 14|what Gold Fish had done for her wasn't enough|R:OTHER||
"Despite we are actors we had to pay a full ticket because the discounts you promise are not available on Sundays ."|10 10|price|M:OTHER||
"You can imagine how were our faces like when we saw that it was not Danny , but Peter Fox , who was on the stage ."|3 4|what|R:OTHER|R:ADJ|
"You can imagine how were our faces like when we saw that it was not Danny , but Peter Fox , who was on the stage ."|3 4|what|R:OTHER|R:PRON|
"I am sure that the restaurant closed at its closing - hour but you have to remember that the show began 45 minutes late ."|10 12|time|R:OTHER||
"Technology makes easier the work at home ."|2 7|housework easier|R:OTHER||
"While I was studying at the high school and the university , I was in the swimming team of the school ."|18 21||U:OTHER||
"When you ask some people to learn their opinions about shopping they can tell you they do n't like shopping but I suppose it is not true ."|22 26|don't suppose it is|R:OTHER||
"For example me , when someone asked me about shopping I would say that I had n't liked it ."|15 18|didn't like|R:OTHER|R:VERB:TENSE|
"When we asked for discounts tickets , we were said there never were discount offers and that we had to pay the highest tickets - £ 20 each - because we were not English students ."|22 23|most expensive|R:OTHER|R:ADJ|
"When we asked for discounts tickets , we were said there never were discount offers and that we had to pay the highest tickets - £ 20 each - because we were not English students ."|22 23|most expensive|R:OTHER|R:ADJ:FORM|
"So I want my money back for these two tickets - I have included a copy - and I hope you will pay more attention to the way you treat your customers , and avoid false advertisement ."|16 16|of them|M:OTHER|M:PREP|
"So I want my money back for these two tickets - I have included a copy - and I hope you will pay more attention to the way you treat your customers , and avoid false advertisement ."|16 16|of them|M:OTHER|M:PRON|
"Materials , textures and colours change , and are minds too ."|8 9|our|R:OTHER|R:SPELL|
"So I think people will wear clothes made of recycled things , like bottles of aluminium ."|13 16|alluminum bottles|R:OTHER||
"But maybe the shape of the clothes will changed : large pants as "" baggy "" , or trousers with many pockets as we see today ."|11 16|"""baggy"" clothes"|R:OTHER||
"It maybe because they are more likely to try new ways of clothes ."|12 13|dressing|R:OTHER||
"To conclude , in the end clothes wo n't be what we think about today , and it 's a good thing because we can only imagine and follow the trend of fashion that makes us feel pretty and happy ."|13 14|they will be|R:OTHER||
"I 'm writing because I know that you 're interested in listening my experience in which I enjoyed helping at a pop concert last month , perhaps in the future you 'll be able to help too ."|14 16|when|R:OTHER||
"Concerning the two activities I have to choose , I would prefer to swim and play tennis ( I have a good level in each sports ) ."|23 23|of proficiency |M:OTHER|M:PREP|
"Concerning the two activities I have to choose , I would prefer to swim and play tennis ( I have a good level in each sports ) ."|23 23|of proficiency |M:OTHER|M:NOUN|
"Many classes and activities are important in our school But I have to make a choice in order to select them The class of mecanics seem to be the more important lesson ."|22 25|engineering class|R:OTHER||
"Besides it gives all the areas covered by a mecanic ingenier and it is very important in a school where you will probably become a mecanic ingenier It lets us specify our abilities in the part of mecanics that we prefer ."|9 11|mechanical engineer|R:OTHER|R:ADJ|
"Besides it gives all the areas covered by a mecanic ingenier and it is very important in a school where you will probably become a mecanic ingenier It lets us specify our abilities in the part of mecanics that we prefer ."|25 27|mechanical engineer|R:OTHER|R:SPELL|
"Besides it gives all the areas covered by a mecanic ingenier and it is very important in a school where you will probably become a mecanic ingenier It lets us specify our abilities in the part of mecanics that we prefer ."|33 34|and|R:OTHER||
"If it would be possible I wish I travel in July because I have planned my holidays this month at work and I would not be able to remove them for accommodation , I would choice the log cabin , I am not very fond of "" adventure "" , that is why tents are not for me ."|30 31|. Regarding|R:OTHER||
"( I guess that you should n't borrow some !"|8 9|one|R:OTHER|R:PRON|
"About tennis , I play for eight years and I am used to sit for competition ."|0 1|Regarding|R:OTHER||
"About tennis , I play for eight years and I am used to sit for competition ."|10 13|used|R:OTHER|R:VERB:TENSE|
"To finish , I wonder if I need to bring some money or if all has been already payed and what kind of clothes should I bring ?"|14 15|everything|R:OTHER||
"Nevertheless , we should not forget the extra - life school . We have to show sports at school and all activities that we are offered ."|9 10|curricular life at |R:OTHER||
"There are not only the brain which should be trained ."|0 1|It|R:OTHER||
"I have received your letter about the competition ' two weeks at Camp California ' - I am very glad to know to have won the first prize !"|22 22|that I|M:OTHER||
"In the following you can find , I hope , call the information you need to complete the partecipation procedure ."|10 11|all|R:OTHER|R:SPELL|
"If possible , the accomodation I prefer is in tent ."|4 4|type of|M:OTHER|M:NOUN|
"If possible , the accomodation I prefer is in tent ."|4 4|type of|M:OTHER|M:PREP|
"If possible , the accomodation I prefer is in tent ."|8 9|a|R:OTHER||
"there are two main reasons for the choice : I am very keen on camping in high mountains and hills and I am very skilled in all the relative activities : building - up the tent , cooking on camp and so on ."|31 33|putting|R:OTHER|R:VERB|
"there are two main reasons for the choice : I am very keen on camping in high mountains and hills and I am very skilled in all the relative activities : building - up the tent , cooking on camp and so on ."|31 33|putting|R:OTHER|U:PUNCT|
"Furthermore I have several personal objects that play a fundamental role in the camp daily life ( the tent , the sleep bag and so on . ) ."|13 16|daily life of the camp|R:OTHER||
"Indeed , I like the water sport and I am a quite good guitar singer - Some questions : What about the average temperature at the camp on July ?"|20 21|is|R:OTHER||
"How much money may be useful at the camp ?"|3 6|will I need|R:OTHER||
"Our school , as it is well known , is a technical school and consequently the daily life contains different activities performed in the classrooms or in the laboratories ."|18 19|consists of|R:OTHER|R:VERB|
"Our school , as it is well known , is a technical school and consequently the daily life contains different activities performed in the classrooms or in the laboratories ."|18 19|consists of|R:OTHER|M:PREP|
"Here we can describe some lessons or other activities which can be filmed to create the video ."|13 15|for|R:OTHER||
"The mathematical lessons are divided in two part : the theoretical one where the definitions and the theorems are presented to students and the numerical one where the problems are solved and the applications are explained ."|1 2|maths|R:OTHER||
"Two particular activities are performed in the laboratory of physics and in the laboratory of chemistry ."|7 16|physics laboratory and the chemistry laboratory |R:OTHER||
"I would like to say "" thank you "" for this London trip plan ."|11 14|plan for a trip to London|R:OTHER||
"Especially the boat trip on river is a good idea because we all want to see Greenwich ."|6 6|. This|M:OTHER|M:PUNCT|
"Especially the boat trip on river is a good idea because we all want to see Greenwich ."|6 6|. This|M:OTHER|M:DET|
"We also enjoy the idea of going to the National Art Gallery and sightseeing by bus ."|2 3|like|R:OTHER|R:VERB|
"Joining this fashion and leisure show , we will get the chance to see a lot of enjoyable and different things , such as new hair styles and make up ways , or what is fashion in London recently ."|34 38|what the fashions in London are|R:OTHER||
"Joining this fashion and leisure show , we will get the chance to see a lot of enjoyable and different things , such as new hair styles and make up ways , or what is fashion in London recently ."|38 39|at the moment|R:OTHER||
"Although human is a social creature , all people need an area to be able to stay away from other people ."|12 12|in which they |M:OTHER||
"Although human is a social creature , all people need an area to be able to stay away from other people ."|12 15|can|R:OTHER||
"I am quiet sure , even the ones , who have chosen their occupies just to be famous , do n't like to be pictured when they believe they are alone ."|2 3|quite|R:OTHER|R:SPELL|
"The situation much be much worse for the ones who have become famous without desiring this ."|2 3|must|R:OTHER|R:SPELL|
"She loved the idea and said she had differents shows so to decide which could be the most suitable ."|8 9|various|R:OTHER|R:ADJ|
"She loved the idea and said she had differents shows so to decide which could be the most suitable ."|11 11|could|M:OTHER|M:PRON|
"She loved the idea and said she had differents shows so to decide which could be the most suitable ."|11 11|could|M:OTHER|M:VERB|
"I told her to make me a phone cold ."|6 9||U:OTHER||
"I am writing to reply on your letter concerned about the holidays at Camp California in the U.SA as a first prize in the competition which I fortunately won last month ."|18 19|which is|R:OTHER||
"First of all , I want to know if it is possible to travel in July because during that month I will be free from the school 's activities so my parents just let me go if I do not have to miss any of my classes ."|29 30|and |R:OTHER|R:CONJ|
"The other activity that I chose is painting , I am not as well as I want , nevertheless I think I can inprove my skills during this course ."|13 14|good|R:OTHER||
"I would rather tends than log cabins for accommodation because the last summer I had the great opportunity to be in a log cabin and now I want to know the other one ."|3 4|tent|R:OTHER|R:SPELL|
"I am sure it will be thrilling to stay near the nature and at the same time , it would be a new experience for me ."|9 11|close to |R:OTHER||
"I would like to know how is the weather in California during the summer to bring with me appropiate clothes and the last thing I need to know , is the amount of money that I have to bring with me ."|14 15|so I can |R:OTHER||
"1- It would be a good idea to film the computer centre , the listening room room and the library because as everybody knows , they have very good equipment and also they are comfortable places helping them to improve their English on their own ."|37 38|the students|R:OTHER||
"3 - The least but not the last , a lot of students ( almost 85% ) think that the extra - activities organised by the social programme , has became really exciting , so they suggest filming these activites during the weekend , for example "" the full day in Oxford "" because for those that did not have the opportunity to go there , could see how great it was and then they can attend the next time ."|2 8|Last but not least|R:OTHER||
"Despite of being almost 300 students , the answers were quite similar ."|1 2|there|R:OTHER||
"Few weeks ago , me and my farmily had a hoilday in London , the hoilday was n't too good !"|4 8|my family and I |R:OTHER||
"During the week we descide where we want to go , we all agree to listen to music so than we descide to come to your musical show and listen to "" Over the Rainbow "" ."|19 20|then |R:OTHER|R:SPELL|
"That evening we do n't want to have our supper before the show Anyway I though it will be too early to eat and also because the time table or canidates you give me have say : "" visit our theatre restaurant after the show "" ."|15 16|thought |R:OTHER|R:SPELL|
"so we did , but unforturnily it was close and I was so dissapointed about it , nor only that we have expected Danny Brook and Tina Truelove to be the actor of starring ."|17 18|not|R:OTHER|R:SPELL|
"P.S. please would you like to explain why ?"|8 8|this happened|M:OTHER|M:DET|
"P.S. please would you like to explain why ?"|8 8|this happened|M:OTHER|M:VERB|
"In order to live happily the sciencetist can easily perdict the changes on earth , so than we can have time to perpare or defence our self from the Natural diseasters ."|0 2|To help us|R:OTHER||
"In order to live happily the sciencetist can easily perdict the changes on earth , so than we can have time to perpare or defence our self from the Natural diseasters ."|25 27|ourselves |R:OTHER|R:SPELL|
"In order to live happily the sciencetist can easily perdict the changes on earth , so than we can have time to perpare or defence our self from the Natural diseasters ."|25 27|ourselves |R:OTHER|R:ORTH|
"Wapons were designed to kill and defences in a fright , in War 1945 so many German were killed , also many people die from other region ."|6 7|defend|R:OTHER||
"Wapons were designed to kill and defences in a fright , in War 1945 so many German were killed , also many people die from other region ."|12 14|the Second World War|R:OTHER||
"Wapons were designed to kill and defences in a fright , in War 1945 so many German were killed , also many people die from other region ."|0 1|Weapons|R:OTHER|R:SPELL|
"Posin chemical compounds e.g. gases , liquids , are created too , they were use to kill people , most of them give radiration which can disable the person , mostly harm their brain and their bodys and it could also cause deaths ."|5 6|and|R:OTHER||
"Communication techology e.g. internet ( networks ) , moible phones ."|7 8|and|R:OTHER||
"In the wars soilors were communicate with moible phones though places to place to get or give information about them self and the enarmys ."|19 21|themselves|R:OTHER|R:SPELL|
"In the wars soilors were communicate with moible phones though places to place to get or give information about them self and the enarmys ."|19 21|themselves|R:OTHER|R:ORTH|
"By using internet we could make new pen friends oversea , creat club , sociatys ."|13 14|and|R:OTHER||
"Now megsage can travel quicker and it is also world wild . send letters takes about aweek to HongKong from U.K. , but net work eg ."|9 11|worldwide|R:OTHER|R:SPELL|
"Now megsage can travel quicker and it is also world wild . send letters takes about aweek to HongKong from U.K. , but net work eg ."|9 11|worldwide|R:OTHER|R:ORTH|
"Now megsage can travel quicker and it is also world wild . send letters takes about aweek to HongKong from U.K. , but net work eg ."|17 20|from Hong Kong to|R:OTHER||
"Now megsage can travel quicker and it is also world wild . send letters takes about aweek to HongKong from U.K. , but net work eg ."|25 27|e.g. |R:OTHER|R:ORTH|
"require time is about few minutes ."|0 2|The time required|R:OTHER||
"require time is about few minutes ."|3 4|only a|R:OTHER||
"Modern technology save us alot of times and give us many benifects when we use it in a right correct ways , but some bad way to e.g. send virse to break down network ."|2 3|saves |R:OTHER|R:VERB:INFL|
"Modern technology save us alot of times and give us many benifects when we use it in a right correct ways , but some bad way to e.g. send virse to break down network ."|2 3|saves |R:OTHER|U:PRON|
"When the show had finished we decided to go for a snack to the theatre restaurant and it was closed without giving any reason for it ."|24 26||U:OTHER||
"My and my friends , including Pat , were preparing a surprise for Sam 's birthday ."|0 1|I|R:OTHER||
"Everybody was excited about the idea and we were keeping it in secret in front of Sam ."|11 12|a|R:OTHER||
"With reference to our trip in London , in name of all of us , English class in this college , we would like to thank you for your special atention in have organised a good programme to know interesting and cultural points in London ."|8 10|on behalf |R:OTHER||
"With reference to our trip in London , in name of all of us , English class in this college , we would like to thank you for your special atention in have organised a good programme to know interesting and cultural points in London ."|38 39|learn about |R:OTHER|R:VERB|
"With reference to our trip in London , in name of all of us , English class in this college , we would like to thank you for your special atention in have organised a good programme to know interesting and cultural points in London ."|38 39|learn about |R:OTHER|M:PREP|
"We have thought that The London Fashion and Leisure Show would be a great opportunity to give us more information about the main transformation in nowdays in England about fashions , Leisure , sports and style of life ."|28 29|concerning |R:OTHER||
"We have thought that The London Fashion and Leisure Show would be a great opportunity to give us more information about the main transformation in nowdays in England about fashions , Leisure , sports and style of life ."|35 38|lifestyle|R:OTHER||
"However your decision in changing a little bit our programme , we would suggest just on Tuesday afternoon no doing shop , everything else could stay the same ."|1 1|it is |M:OTHER||
"However your decision in changing a little bit our programme , we would suggest just on Tuesday afternoon no doing shop , everything else could stay the same ."|15 21|not going shopping on Tuesday afternoon|R:OTHER||
"This sad and unlucky day was on Friday 1998 , it was n't 13th even it look liked , but it was my 25th birthday ."|17 18|like |R:OTHER||
"Unfortunately , I 've got a brother who likes to live in dangerous and poor way and I do n't know how , but he could persuade me to go with him to get some drugs , in my 25th birthday ."|25 26|was able to |R:OTHER||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||

|||||
